symbolId,symbolName
1,EURUSD
41,XAUUSD
101,BTCUSD
108,WTI
110,NAS100
4317,AAL
4467,EURUSD.I
4534,XAUUSD.I
2560,EURUSD.P
2597,XAUUSD.P
2631,NGAS.F
2686,A
2,GBPUSD
42,XAGUSD
102,ETHUSD
109,BRENT
4318,AAPL
4468,GBPUSD.I
4535,XAGUSD.I
1897,AUS200
2561,GBPUSD.P
2598,XAGUSD.P
2632,USOIL.F
2687,AA
3,EURJPY
92,XAGEUR
4319,ADBE
4463,USOIL
4469,EURJPY.I
1898,ESTX50
1939,LTCUSD
2562,EURJPY.P
2629,XAUEUR.P
2688,AAP
4,USDJPY
93,XAUEUR
4320,ADSGn
4470,USDJPY.I
1899,GER30
1940,BCHUSD
2563,USDJPY.P
2630,XAGEUR.P
2634,UKBRENT.F
2689,AAT
5,AUDUSD
95,XPDUSD
4321,AIG
4471,AUDUSD.I
1900,FRA40
2564,AUDUSD.P
2637,DJ30.F
2690,AAXJ
6,USDCHF
97,XPTUSD
4322,AIRFA
4472,USDCHF.I
1901,UK100
2565,USDCHF.P
2638,DX.F
2691,ABBV
7,GBPJPY
4323,AKAM
4473,GBPJPY.I
1902,SPX500
2566,GBPJPY.P
8,USDCAD
4324,ALL
4474,USDCAD.I
1904,JPN225
2567,USDCAD.P
2640,HK50.F
2693,ABCB
9,EURGBP
4325,ALVG
4475,EURGBP.I
1905,US30
2568,EURGBP.P
2641,SWI20.F
2694,ABEO
10,EURCHF
4326,AMZN
4476,EURCHF.I
1906,ESP35
2569,EURCHF.P
2642,US500.F
2695,ABEV
11,AUDJPY
4327,ATHM
4477,AUDJPY.I
1907,SUI20
2570,AUDJPY.P
2643,USTEC.F
2696,ABM
12,NZDUSD
4328,ATVI
4464,CHINAA50
4478,NZDUSD.I
2571,NZDUSD.P
2644,JPN225.F
2668,DOGEUSD
2697,ABNB
13,CHFJPY
4329,AXAFA
4465,HK50
4479,CHFJPY.I
2572,CHFJPY.P
2698,ABR
14,EURAUD
4330,AXP
4466,US500
4480,EURAUD.I
2573,EURAUD.P
2699,ABT
15,CADJPY
4331,BA
4481,CADJPY.I
2574,CADJPY.P
2700,ABUS
16,GBPAUD
4332,BABA
4482,GBPAUD.I
2575,GBPAUD.P
2701,ACAD
17,EURCAD
4333,BAC
4483,EURCAD.I
2576,EURCAD.P
2702,ACB
18,AUDCAD
4334,BAYGn
4484,AUDCAD.I
2577,AUDCAD.P
2653,USCOFFEE.F
2703,ACET
19,GBPCAD
4335,BBY
4485,GBPCAD.I
2578,GBPCAD.P
2704,ACI
20,AUDNZD
4336,BIDU
4486,AUDNZD.I
2579,AUDNZD.P
2705,ACLS
21,NZDJPY
4337,BK
4487,NZDJPY.I
2580,NZDJPY.P
2706,ACM
22,USDNOK
4338,BKNG
4488,USDNOK.I
2581,USDNOK.P
2658,TY10.F
2707,ACMR
23,AUDCHF
4339,BLK
4489,AUDCHF.I
2582,AUDCHF.P
2659,SILVER.F
2708,ACN
24,USDMXN
4340,BMWG
4490,USDMXN.I
2583,USDMXN.P
2660,GOLD.F
2709,ACP
25,GBPNZD
4341,BNPPA
4458,DE40.F
4491,GBPNZD.I
2584,GBPNZD.P
2710,ACRX
26,EURNZD
4342,BRKb
4459,US2000.F
4492,EURNZD.I
2585,EURNZD.P
2711,ACWI
27,CADCHF
4343,CAPPA
4493,CADCHF.I
2586,CADCHF.P
2683,XRPUSD
2712,ADAG
28,USDSGD
4344,CARRA
4461,UK100.F
4494,USDSGD.I
2587,USDSGD.P
2713,ADAP
29,USDSEK
4345,CBKG
4462,VIX.F
4495,NZDCAD.I
2588,NZDCAD.P
2714,ADC
30,NZDCAD
4346,CMCSA
4496,EURSEK.I
4536,ADAUSD
2589,EURSEK.P
2715,ADES
31,EURSEK
4347,COST
4497,GBPSGD.I
4537,DOTUSD
2590,GBPSGD.P
2716,ADI
32,GBPSGD
4348,CRM
4498,EURHUF.I
4538,LNKUSD
2591,EURHUF.P
2717,ADM
33,EURNOK
4349,CRON
4499,USDPLN.I
2592,USDPLN.P
34,EURHUF
4350,CSCO
4500,USDDKK.I
2593,USDDKK.P
2719,ADN
35,USDPLN
4351,CVS
4501,GBPNOK.I
2594,GBPNOK.P
2720,ADNT
36,USDDKK
4352,CVX
4502,NZDCHF.I
2595,NZDCHF.P
2721,ADP
37,GBPNOK
4353,DAIGn
4503,GBPCHF.I
2596,GBPCHF.P
2722,ADPT
39,NZDCHF
4354,DAL
4504,USDTRY.I
2599,USDTRY.P
2723,ADSK
40,GBPCHF
4355,DANOA
4505,EURHKD.I
2600,EURHKD.P
